mcq,What is the primary purpose of a risk assessment in the risk management process?,To identify and prioritize risks based on their potential impact and likelihood;To develop risk response strategies;To allocate resources for risk mitigation;To conduct a financial audit,To identify and prioritize risks based on their potential impact and likelihood,1
mcq,Which of the following is NOT typically a part of a compliance management program?,Monitoring and auditing compliance with legal and regulatory requirements;Developing and implementing training programs for employees on compliance topics;Conducting market research to identify new business opportunities;Reporting compliance issues to senior management and regulators,Conducting market research to identify new business opportunities,1
mcq,Which of the following frameworks is commonly used for managing IT-related risks?,COSO;ISO 31000;NIST RMF;ITIL,NIST RMF,1
mcq,What role does the board of directors play in corporate governance?,They are responsible for the day-to-day operations of the company;They set the strategic direction and oversee management's performance;They handle the company's public relations and marketing strategies;They manage the company's compliance with data protection regulations,They set the strategic direction and oversee management's performance,1
mcq,Which risk response strategy involves transferring the risk to a third party?,Risk avoidance;Risk acceptance;Risk mitigation;Risk transfer,Risk transfer,1
mcq,What is the primary objective of the General Data Protection Regulation (GDPR)?,To regulate financial transactions within the EU;To protect the privacy and personal data of individuals within the EU;To enhance trade agreements between the EU and other countries;To establish guidelines for corporate governance in the EU,To protect the privacy and personal data of individuals within the EU,1
mcq,In the context of incident response - what is the primary focus of the 'containment' phase?,To identify the root cause of the incident;To limit the impact and spread of the incident;To communicate with external stakeholders about the incident;To conduct a post-incident review,To limit the impact and spread of the incident,1
mcq,What does 'risk appetite' refer to in the context of risk management?,The amount of risk an organization is willing to accept in pursuit of its objectives;The level of risk that an organization can afford to absorb financially;The maximum amount of risk that can be tolerated by regulatory bodies;The total number of risks identified in a risk assessment,The amount of risk an organization is willing to accept in pursuit of its objectives,1
mcq,Which control framework focuses on ensuring that IT controls are effectively implemented and operating as intended?,COBIT;ISO 9001;SOX (Sarbanes-Oxley Act);PCI-DSS,COBIT,1
mcq,Which of the following is a primary goal of corporate governance?,To ensure that the organization meets its profitability targets;To ensure the organization's compliance with all relevant laws and regulations;To align the interests of management with those of the shareholders;To develop and implement marketing strategies for business growth,To align the interests of management with those of the shareholders,1
